Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
Hopt,,SK,Genesis Gaming,,455,Terran
PandaBearMe,Isaac Fox,US,,1998-02-21,10038,Zerg
Chabby,Lars Nawarotzky,DE,,1998-08-15,546,Protoss
Heart,김민혁,KR,,1990-11-16,57270,Terran
RotterdaM,Kevin van der Kooi,NL,Team Rotti,1987-05-08,2469,Protoss
sKyHigh,조병세,KR,,1991-06-01,5094,Terran
YoDa,최병현,KR,,1992-12-24,101774,Terran
Stork,송병구,KR,,1988-08-04,14451,Protoss
Rotab,Jean-Baptiste Doubez,FR,Genesis Gaming,,853,Zerg
BrAvO,노준규,KR,,1992-09-25,4919,Terran
Ukko,Corey Merritt,US,Apprentice Esports,,1182,Zerg
FireCake,Sébastien Lebbe,FR,,1990-04-27,51662,Zerg
TooDming,黄慧明,CN,,1988-10-07,127972,Zerg
JangBi,허영무,KR,,1989-05-03,6627,Protoss
Jason,Jason Papadimitrios,CA,,,1960,Terran
Sinner,Paco Garza,MX,ExcerituS Ignot,,1777,Terran
Golden,조명환,KR,,1994-07-19,36892,Zerg
Rob,Robert Plata,US,ROOT Gaming,,5434,Protoss
EffOrt,김정우,KR,,1991-01-30,9091,Zerg
iaguz,Ethan Zugai,AU,,1990-11-09,61311,Zerg
RorO,신노열,KR,,1991-01-19,72278,Zerg
ButAlways,Chen Ting Yu,TW,,,18431,Protoss
Boombox,Isaac Charles,UK,,1997-04-17,2027,Protoss
StekepaNNe,,NO,Team Cladocera,,1179,Zerg
Raze,Jay Whipple,US,ROOT Gaming,,6359,Protoss
Ourk,Liam Streames,UK,FM eSports,1993-12-23,5360,Protoss
Cloudy,高源,CN,,1994-04-20,17390,Protoss
Suppy,Conan Liu,US,PSISTORM Gaming,1993-03-05,29867,Zerg
Wanted,陈思成,CN,,,6615,Zerg
Avenge,김남중,KR,,1995-04-20,6233,Protoss
TAiLS,김원형,KR,,1992-08-02,24823,Protoss
TurkeyDano,Daniel Fernandes,BR,,,928,Protoss
Light,Dereli Dan Adrian,RO,Alpha X,,1219,Protoss
Jig,Simon Lacasse-Labelle,CA,nocturnal Gamers,,6839,Zerg
Nicoract,,RU,PSISTORM Gaming,,788,Terran
Basior,Grzegorz Basista,PL,,,2362,Terran
Demi,,IN,Alpha X,,18982,Zerg
Ruin,홍덕,KR,,1995-08-21,9682,Protoss
elfi,Samuli Sihvonen,FI,,1990-10-24,43193,Protoss
HeltEn,Torbjørn Knutstadengen,NO,Team Cladocera,1996-04-23,2734,Terran
Gamja,김창곤,KR,,,997,Zerg
Maplez,Marshall MacMillan,CA,License to Kill,,1280,Protoss
SSanaEE,김태균,KR,,,138,Zerg
Pezz,Jack Perry,AU,,,8420,Protoss
PappiJoe,Nikolai Tolstoy,DK,ePunks,,764,Protoss
